id,text
1,tse ho tsan se kai ing pang a tit lin khuan tsai kan lahi u ua lie ing hiong
2,ing ang hguat tsiah kah i lem lo
3,ah eh sian pon
4,s si iam o so
5,ah su amg ma ah tsa li the tshing ka
6,an ne lah
7,lin kianm po kong iau si ji tsiu shu kuae si kau lma guh kh lin kong gia ah khuanm hungn it king sio thang kuah l
8,ah san a pah n kuha
9,iam pn tsiah kah kh kha khi
10,sansi siu o ho i ki khu
11,i hia hune lahng iah si sam tsamg ongon shin tshi tsg tsn
12,huan la lai lai khan si tsi khai sio tsia
13,i tsion li ai i su lui tsng si ts si ua kang ting ma su iausiong se uiu e
14,li tsit e ho meme
15,t in ai kong tsue kai kiau i kiong me ku khng i ko ka au tsu ti io sing li
16,tsing loh lai e si sim lai kahm uan tsiok e kam ka sing khun na kian liau siun ki
17,hong un a
18,o to ai si tsia ping song e kau thon kang khu tsuan tai uan tshu uo lag peh hiau khia o to bai 
19,kah hit tsapm tsit tsun ji ts kie lua hing ho le
20,ing kgua u si kiam tshai iong kan uane su ui kan ta hun u lui tong su gmian su hing iong su ting tn
21,haugian ti a uan loh t uan loh kh ah im than tua s sian
22,n na sit an hn tai ai gkia h ong kha len the lai kahie pan tsia mna hue he tsi tsiong jong si hua siun kue iu gua sit tsai puk kho tshun
23,hani gin n lnang hu hin bo tshu g ho ute mng
24,in na si tong suahn mah e ti au kiu si h sing lo t kitha kai ki ai kong tse i king si tsit e sing li
25,lan huan san tsiong tsig hing ai hon lun
26,gsik kh
27, sing kiagsut k tan khng a
28,u i guaen a siu kho ling ti li khong itingmi tshamg tsuan tsong thang e kiong ho kong ji su
29,lhi kanmgu ing hang kao gua au siuau kai tsit e main kh siong su sieah si tsisiang
30,puah huo li long luh la
31,tiang ia o goh khsit tshan t
32,u lang ti e bo ulang i e o ah
33,thah ke tsiah o a lai san lahu tshu king ua khian an li king ki tshiu sio han khe hing i hao un
34,ta ke long kauah lan lnai khi hing tshia ki hn tsiun tshia
35,li tso hoe u t sing kia tsit hun ho guah khi hang tsit e ho 
36,huah n ah tsit e tua ang honh koh ka tin ha kuan ne
37,h tioh kah ung tsiagho liau
38,sing lahng khian han tsing li an ne kong long kuan kin angh hau khuan suanhn kin tsit e khuan tah ke sim lai lon ahm houn tsisian gua khoa suan e tsian tshiu king u ian kiahng tsit puan khi a
39,thau gua ng n ki
40,in muibo tshua i hanmgho sik e un t so i eing tsiong tioh si kiah kiat koe kinu tsi
41,tsit le ki a e th t e siong ts ah si thah kho thum tshu ts
42,ai siong sin kah ki king h e toh lam ting u
43,u ki hue e ti lak gue itsng ta sing hia i
44,gua kong gua e to a e la
45,kn si tai pa hian niho tsa ti tshu tshu ki khah se li le
46,an ne tso kam o khe
47,tsain sing tsia o lohi kian pu stlo sua m koh kiong ho ong ti kok hue a t ts
48,si tsh siphin sim haonh lamg sin bo behe tau sen n an tsi i mag mna e kam tog
49,ka hue a lig ian sio suie ohun lng tsioh hinm sen siok kahe lioun tong san khi tshu ka loh
50,gua tsin ma kiam tit le a tsiun pe tshu ung tsia li ts lah
51,tsau ua e kai kea
52,ian i ok iang kian gua sau u i khoka ti bi o ts kin ka inm kai se kua hie i king in gkhi
53,ha gua ts oung tsit tsiah khui
54,tsuan ing long tah u te ong gong siamn mih long khuan bo
55,o tsiu kok hue math ti ji khong i jin ni kiah kua tong sing hun ha hua hua e gi te tsoin sing phai su kah thong kho
56,guahe sim
57,tshin tshiun in kgue ah o ong king mgi tsui tsiahguin long ah iong tsilai tso
58,he hie
59,eh ten tong tshia honh tsau pe in tang i kai si bo tean nah ah kah ba ke li th tshut lai shiong n tsit 
60,si u anga o oge si tsing hai e pu lug sun thiau kah tsian ho khuan
61,sa a h ti tsan tsing si sian mih khuan nahng lh tsiah
62,tsian ping khuim mng loh tshia tsin tsing tshian tsu i tshia siug ka kue tai kiong e hahng h khang a bmue hang li
63,li sing kian shu k an khih ting an
64,ha kai tshun huai tsuan ki thau hong te tsong ho sa ung gua tkhiung
65,tsit mahng ah si kang khuanm ma
66,i tsh tshi tsho tshong kh hanu li kam long bu khian ne
67,uan ko gua ueah thau kin niu si a pagai e i ts lang tsin hau
68,kigna tha u khoh ling tsiah bin tsin a
69,a tsi lang khie kh khihi
70,lai siun uah
71,khuan ho kah ke kai tsit to ho lan mbo tsai kiau kuan at lang e inga tai
72,lai kia jit tso tsi ah si tstshai o hiong
73,ts tsit kua sin the bo kian n ka ie tai tsi ho pho than khan tsiong i tsing gik khai sin khe ia
74,i tsio ahu ka ang kau pue
75,hu ia na si hua sio tshau uen ng kang kio a su ai kinm tsao
76,i tsai a u lahng kha ing uae la khuo tsian mi si ko gue ki im ai luh tsi si lu tshau kue tsit tshing kho to sang ho khang
77,ho lip eh kah uiui khi la
78,ia am tsio iu huat tn kit oh the ke i ut po
79,huan tigiu liam mi ao e lai ah ksiahm ma hua i hemguat ki tsit kuam gi kian tshian lan tsia
80,io i kah eri kah sa thau tsing san tsa tsit tah go a ksi tshiang san tshing go tshing e kiong tong su tsoe so liong eh tshut lai han loh kah tsuan o hun khui sng khai thuo lun tsit e su tsn ti mae ka sa ng e thuang ke io long u tshut hia
81,hin siu lah bah sue si
82,shah loh si t hne kah khau
83,ian
84,ping siong si khang khe ts kah puanm me tsiah ong kuan s la phe kinon
85,t tsi khuan s thau tsui siong hn jn lai bean ng kuan tg gkhi tsh khuan mai
86,un e put shin gun tsa o kian mnau gu bain it hua e pe io sian mih la e gua
87,li kian lo ae kua kuai kang si khuguai k
88,ua a sang li ho i eh ai e mi kian ti tsia
89,in tshin han lo po hun ei ong lai ah kgue tsu pun ing kai si tsit e su
90,a an ta huai ke kai khiam
91,lain gkin ai tsiah ng nah
92,li iong ieh kua sian kah hia i miau e suan luo kah ping ang hahmg hing ho han a tsh h
93,iaung koh tai guan ten ian si gua e sen mia mgo lung ahn tsuan gu kiong uan long be hong kh
94,siongnue hi khi suah hie khau tsing tsit kuan si ji khong khong an ni sia h ut kiu sm to ang tshut an hit tsit tahng
95,li tsa hi sia king ua khit lai khue
96,hetsin kuae leh tu nang tsauh
97,n tshuan khui e hn tong pen hi he kui
98,hu la khang khue tah t ki i ta hahng long un gua tso naung tsoe lia
99, hie lo ka su kahm u kua gu ka sua i tsau tshu la
100,hguan le khi tn an
101,gu lun lun ho li gua i king tsi kui ho tsing huan
102,lnau gua ko san pi hia e ing gi tsuagia thangngni
103,i khage mih kian kai ho kaun mehn mgua ku to ahe ho
104,na a siong pan to u tsin uah su si thaulo
105,eh
106,nmng kian kua ho ho
107,s tsn tai i ugun kue hun thia h sin liongi hua tshiu h sun khankai tsi isu tah phue tsih khah o
108,tsue hahn me khi khoh ling ai au tsit tai hang khun lai phah
109,si kuana
110,haun shian
111,tah bgongn si tshiu na siong sui si tsunong siong it tshe khu tso tsit hue o gua pi
112,i kia te san lia in ma tsioh tsia loh khina tsia kohnm a o loh kong gua h gua tsu tshut s kau an m on tsia kue tsih n ni phang en i a e
113,ling gua king ki ing bun e kiau kho tso tshu lai gisu tahu phue ka su tsts s kai ing su a tskuan su o go in ui n lo tsing kuan tsian e hi su e kisu ah khueo ola o ksut ti in onma long ai i tsian thau tsing
